imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,FAST,5275,BRIEF,,,
1,FAST,5291,BRIEF,2203,12.5156,12.3202
2,FAST,5202,BRIEF,2214,12.6142,13.7933
3,FAST,5090,BRIEF,2234,14.091,12.8604
4,FAST,5118,BRIEF,2129,16.6894,13.6303
5,FAST,5180,BRIEF,2233,15.9082,13.8295
6,FAST,5192,BRIEF,2153,12.6787,15.1494
7,FAST,5177,BRIEF,2103,11.9844,13.756
8,FAST,5176,BRIEF,2094,13.1241,12.9527
9,FAST,5225,BRIEF,2133,13.0241,13.7133
10,FAST,5331,BRIEF,2100,11.1746,13.1423
11,FAST,5351,BRIEF,2205,12.8086,12.6198
12,FAST,5244,BRIEF,2247,8.95978,11.854
13,FAST,5231,BRIEF,2191,9.96439,11.7805
14,FAST,5286,BRIEF,2249,9.59863,10.8823
15,FAST,5464,BRIEF,2291,8.57352,11.9352
16,FAST,5464,BRIEF,2327,9.51617,10.5152
17,FAST,5563,BRIEF,2369,9.54658,10.3203
18,FAST,5497,BRIEF,2443,8.3988,11.0138
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SHITOMASI,1723,BRIEF,,,
1,SHITOMASI,1759,BRIEF,811,12.5156,15.1805
2,SHITOMASI,1820,BRIEF,816,12.6142,15.3966
3,SHITOMASI,1850,BRIEF,916,14.091,10.0174
4,SHITOMASI,1828,BRIEF,879,16.6894,12.0075
5,SHITOMASI,1806,BRIEF,868,15.9082,12.4657
6,SHITOMASI,1877,BRIEF,864,12.6787,13.5266
7,SHITOMASI,1894,BRIEF,855,11.9844,14.0762
8,SHITOMASI,1889,BRIEF,902,13.1241,12.5631
9,SHITOMASI,1917,BRIEF,872,13.0241,11.5556
10,SHITOMASI,1874,BRIEF,865,11.1746,12.5008
11,SHITOMASI,1912,BRIEF,887,12.8086,11.7805
12,SHITOMASI,1930,BRIEF,911,8.95978,11.0235
13,SHITOMASI,1880,BRIEF,929,9.96439,12.4427
14,SHITOMASI,1886,BRIEF,915,9.59863,12.5597
15,SHITOMASI,1957,BRIEF,941,8.57352,15.1931
16,SHITOMASI,1888,BRIEF,915,9.51617,12.3713
17,SHITOMASI,1919,BRIEF,937,9.54658,10.5948
18,SHITOMASI,2055,BRIEF,984,8.3988,8.36986
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,HARRIS,115,BRIEF,,,
1,HARRIS,209,BRIEF,83,12.5156,10.9082
2,HARRIS,114,BRIEF,97,12.6142,10.195
3,HARRIS,178,BRIEF,83,14.091,-11.4731
4,HARRIS,250,BRIEF,115,16.6894,11.7693
5,HARRIS,241,BRIEF,143,15.9082,34.1473
6,HARRIS,259,BRIEF,139,12.6787,15.2483
7,HARRIS,272,BRIEF,152,11.9844,12.2792
8,HARRIS,193,BRIEF,142,13.1241,13.5704
9,HARRIS,129,BRIEF,104,13.0241,2.85939
10,HARRIS,248,BRIEF,82,11.1746,10.2931
11,HARRIS,147,BRIEF,118,12.8086,11.6702
12,HARRIS,168,BRIEF,105,8.95978,nan
13,HARRIS,181,BRIEF,106,9.96439,284.161
14,HARRIS,144,BRIEF,103,9.59863,5.55228
15,HARRIS,243,BRIEF,92,8.57352,-14.7808
16,HARRIS,213,BRIEF,141,9.51617,6.6376
17,HARRIS,126,BRIEF,108,9.54658,12.5848
18,HARRIS,158,BRIEF,91,8.3988,-inf
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,BRISK,2896,BRIEF,,,
1,BRISK,3000,BRIEF,1239,12.5156,13.8446
2,BRISK,2974,BRIEF,1323,12.6142,15.5607
3,BRISK,2953,BRIEF,1372,14.091,15.1327
4,BRISK,2855,BRIEF,1285,16.6894,17.9813
5,BRISK,2906,BRIEF,1298,15.9082,16.3021
6,BRISK,2886,BRIEF,1298,12.6787,16.0965
7,BRISK,2886,BRIEF,1281,11.9844,13.8561
8,BRISK,2893,BRIEF,1268,13.1241,16.0691
9,BRISK,2930,BRIEF,1302,13.0241,17.2808
10,BRISK,3022,BRIEF,1272,11.1746,11.7553
11,BRISK,3013,BRIEF,1307,12.8086,13.001
12,BRISK,2949,BRIEF,1304,8.95978,12.4338
13,BRISK,3012,BRIEF,1298,9.96439,12.7744
14,BRISK,3026,BRIEF,1366,9.59863,10.2506
15,BRISK,3074,BRIEF,1429,8.57352,11.4379
16,BRISK,3131,BRIEF,1337,9.51617,12.0192
17,BRISK,3135,BRIEF,1432,9.54658,8.97257
18,BRISK,3146,BRIEF,1480,8.3988,11.3786
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,ORB,500,BRIEF,,,
1,ORB,500,BRIEF,202,12.5156,12.9942
2,ORB,500,BRIEF,210,12.6142,14.0331
3,ORB,500,BRIEF,204,14.091,24.6606
4,ORB,500,BRIEF,182,16.6894,21.4016
5,ORB,500,BRIEF,185,15.9082,43.498
6,ORB,500,BRIEF,207,12.6787,6.95531
7,ORB,500,BRIEF,199,11.9844,10.3581
8,ORB,500,BRIEF,191,13.1241,-inf
9,ORB,500,BRIEF,197,13.0241,78.8077
10,ORB,500,BRIEF,191,11.1746,9.40105
11,ORB,500,BRIEF,191,12.8086,15.1796
12,ORB,500,BRIEF,187,8.95978,12.9272
13,ORB,500,BRIEF,213,9.96439,15.5928
14,ORB,500,BRIEF,210,9.59863,13.4978
15,ORB,500,BRIEF,211,8.57352,14.674
16,ORB,500,BRIEF,163,9.51617,12.4911
17,ORB,500,BRIEF,194,9.54658,20.6239
18,ORB,500,BRIEF,188,8.3988,12.7433
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,AKAZE,1513,BRIEF,,,
1,AKAZE,1541,BRIEF,856,12.5156,12.4741
2,AKAZE,1529,BRIEF,827,12.6142,14.6141
3,AKAZE,1561,BRIEF,861,14.091,13.7264
4,AKAZE,1545,BRIEF,836,16.6894,14.785
5,AKAZE,1526,BRIEF,858,15.9082,15.6602
6,AKAZE,1566,BRIEF,860,12.6787,12.1564
7,AKAZE,1529,BRIEF,874,11.9844,15.7868
8,AKAZE,1547,BRIEF,913,13.1241,14.5211
9,AKAZE,1572,BRIEF,901,13.0241,14.2628
10,AKAZE,1567,BRIEF,875,11.1746,11.9817
11,AKAZE,1538,BRIEF,836,12.8086,13.4924
12,AKAZE,1513,BRIEF,867,8.95978,10.895
13,AKAZE,1538,BRIEF,897,9.96439,10.2578
14,AKAZE,1555,BRIEF,903,9.59863,10.5799
15,AKAZE,1544,BRIEF,911,8.57352,9.43678
16,AKAZE,1563,BRIEF,904,9.51617,9.8397
17,AKAZE,1561,BRIEF,900,9.54658,9.36522
18,AKAZE,1569,BRIEF,975,8.3988,8.96428
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SIFT,1891,BRIEF,,,
1,SIFT,1915,BRIEF,690,12.5156,12.7839
2,SIFT,1825,BRIEF,662,12.6142,15.0495
3,SIFT,1837,BRIEF,687,14.091,15.34
4,SIFT,1828,BRIEF,667,16.6894,22.9582
5,SIFT,1877,BRIEF,639,15.9082,20.7886
6,SIFT,1931,BRIEF,658,12.6787,13.1919
7,SIFT,1963,BRIEF,691,11.9844,17.5966
8,SIFT,1954,BRIEF,663,13.1241,16.7714
9,SIFT,1983,BRIEF,673,13.0241,12.9499
10,SIFT,2041,BRIEF,672,11.1746,11.3852
11,SIFT,2063,BRIEF,687,12.8086,12.2638
12,SIFT,2007,BRIEF,687,8.95978,11.6196
13,SIFT,2032,BRIEF,679,9.96439,9.70137
14,SIFT,2048,BRIEF,758,9.59863,10.3155
15,SIFT,2044,BRIEF,748,8.57352,9.48608
16,SIFT,2086,BRIEF,742,9.51617,8.66392
17,SIFT,2095,BRIEF,738,9.54658,8.67936
18,SIFT,2159,BRIEF,753,8.3988,9.37958
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,BRISK,2896,BRISK,,,
1,BRISK,3000,BRISK,1177,12.5156,11.9038
2,BRISK,2974,BRISK,1203,12.6142,25.1468
3,BRISK,2953,BRISK,1183,14.091,14.7655
4,BRISK,2855,BRISK,1116,16.6894,15.5277
5,BRISK,2906,BRISK,1150,15.9082,24.1141
6,BRISK,2886,BRISK,1113,12.6787,14.8353
7,BRISK,2886,BRISK,1094,11.9844,14.5381
8,BRISK,2893,BRISK,1125,13.1241,17.2896
9,BRISK,2930,BRISK,1092,13.0241,15.0829
10,BRISK,3022,BRISK,1058,11.1746,11.6267
11,BRISK,3013,BRISK,1163,12.8086,11.8587
12,BRISK,2949,BRISK,1167,8.95978,10.5222
13,BRISK,3012,BRISK,1160,9.96439,12.7711
14,BRISK,3026,BRISK,1179,9.59863,12.0955
15,BRISK,3074,BRISK,1257,8.57352,13.2661
16,BRISK,3131,BRISK,1242,9.51617,11.6177
17,BRISK,3135,BRISK,1274,9.54658,9.80066
18,BRISK,3146,BRISK,1318,8.3988,12.4882
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SHITOMASI,1723,BRISK,,,
1,SHITOMASI,1759,BRISK,562,12.5156,12.7975
2,SHITOMASI,1820,BRISK,575,12.6142,12.9602
3,SHITOMASI,1850,BRISK,634,14.091,14.9277
4,SHITOMASI,1828,BRISK,608,16.6894,13.0129
5,SHITOMASI,1806,BRISK,629,15.9082,12.3
6,SHITOMASI,1877,BRISK,609,12.6787,14.0207
7,SHITOMASI,1894,BRISK,585,11.9844,13.8277
8,SHITOMASI,1889,BRISK,619,13.1241,13.2405
9,SHITOMASI,1917,BRISK,604,13.0241,11.4727
10,SHITOMASI,1874,BRISK,611,11.1746,11.5712
11,SHITOMASI,1912,BRISK,630,12.8086,10.9558
12,SHITOMASI,1930,BRISK,635,8.95978,12.5157
13,SHITOMASI,1880,BRISK,650,9.96439,13.3352
14,SHITOMASI,1886,BRISK,667,9.59863,12.2294
15,SHITOMASI,1957,BRISK,666,8.57352,9.94433
16,SHITOMASI,1888,BRISK,656,9.51617,11.6855
17,SHITOMASI,1919,BRISK,707,9.54658,11.6118
18,SHITOMASI,2055,BRISK,725,8.3988,9.20014
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,HARRIS,115,BRISK,,,
1,HARRIS,209,BRISK,61,12.5156,10.9082
2,HARRIS,114,BRISK,72,12.6142,10.195
3,HARRIS,178,BRISK,65,14.091,-80.8525
4,HARRIS,250,BRISK,86,16.6894,11.3951
5,HARRIS,241,BRISK,118,15.9082,-inf
6,HARRIS,259,BRISK,95,12.6787,13.6217
7,HARRIS,272,BRISK,115,11.9844,12.2
8,HARRIS,193,BRISK,97,13.1241,12.9162
9,HARRIS,129,BRISK,75,13.0241,nan
10,HARRIS,248,BRISK,61,11.1746,-inf
11,HARRIS,147,BRISK,77,12.8086,11.2142
12,HARRIS,168,BRISK,63,8.95978,11.6948
13,HARRIS,181,BRISK,84,9.96439,13.456
14,HARRIS,144,BRISK,76,9.59863,5.55228
15,HARRIS,243,BRISK,72,8.57352,-14.7808
16,HARRIS,213,BRISK,105,9.51617,6.33028
17,HARRIS,126,BRISK,77,9.54658,12.7384
18,HARRIS,158,BRISK,64,8.3988,-inf
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,FAST,5275,BRISK,,,
1,FAST,5291,BRISK,1612,12.5156,13.792
2,FAST,5202,BRISK,1572,12.6142,12.8249
3,FAST,5090,BRISK,1533,14.091,12.84
4,FAST,5118,BRISK,1450,16.6894,12.803
5,FAST,5180,BRISK,1594,15.9082,14.9186
6,FAST,5192,BRISK,1536,12.6787,13.6907
7,FAST,5177,BRISK,1372,11.9844,13.4054
8,FAST,5176,BRISK,1526,13.1241,12.2185
9,FAST,5225,BRISK,1456,13.0241,12.7138
10,FAST,5331,BRISK,1472,11.1746,13.0576
11,FAST,5351,BRISK,1506,12.8086,11.7186
12,FAST,5244,BRISK,1507,8.95978,12.9625
13,FAST,5231,BRISK,1492,9.96439,12.3379
14,FAST,5286,BRISK,1541,9.59863,12.1383
15,FAST,5464,BRISK,1646,8.57352,11.2679
16,FAST,5464,BRISK,1723,9.51617,11.84
17,FAST,5563,BRISK,1841,9.54658,10.3071
18,FAST,5497,BRISK,1754,8.3988,11.4484
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,ORB,500,BRISK,,,
1,ORB,500,BRISK,263,12.5156,19.4626
2,ORB,500,BRISK,241,12.6142,15.1978
3,ORB,500,BRISK,273,14.091,12.6207
4,ORB,500,BRISK,254,16.6894,19.1755
5,ORB,500,BRISK,287,15.9082,-inf
6,ORB,500,BRISK,280,12.6787,10.9041
7,ORB,500,BRISK,287,11.9844,13.0662
8,ORB,500,BRISK,281,13.1241,8.48386
9,ORB,500,BRISK,276,13.0241,13.1669
10,ORB,500,BRISK,268,11.1746,13.4335
11,ORB,500,BRISK,275,12.8086,7.86152
12,ORB,500,BRISK,274,8.95978,51.3351
13,ORB,500,BRISK,282,9.96439,9.91242
14,ORB,500,BRISK,267,9.59863,13.4923
15,ORB,500,BRISK,287,8.57352,8.73093
16,ORB,500,BRISK,276,9.51617,11.86
17,ORB,500,BRISK,277,9.54658,18.7607
18,ORB,500,BRISK,302,8.3988,24.1067
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,AKAZE,1513,BRISK,,,
1,AKAZE,1541,BRISK,786,12.5156,13.2988
2,AKAZE,1529,BRISK,776,12.6142,14.3685
3,AKAZE,1561,BRISK,781,14.091,14.116
4,AKAZE,1545,BRISK,787,16.6894,15.9494
5,AKAZE,1526,BRISK,787,15.9082,14.5816
6,AKAZE,1566,BRISK,821,12.6787,15.4479
7,AKAZE,1529,BRISK,823,11.9844,16.5679
8,AKAZE,1547,BRISK,812,13.1241,13.7556
9,AKAZE,1572,BRISK,811,13.0241,15.266
10,AKAZE,1567,BRISK,805,11.1746,11.8179
11,AKAZE,1538,BRISK,826,12.8086,12.854
12,AKAZE,1513,BRISK,813,8.95978,11.0527
13,AKAZE,1538,BRISK,824,9.96439,10.3162
14,AKAZE,1555,BRISK,862,9.59863,9.85968
15,AKAZE,1544,BRISK,878,8.57352,9.48155
16,AKAZE,1563,BRISK,857,9.51617,10.6294
17,AKAZE,1561,BRISK,909,9.54658,9.49464
18,AKAZE,1569,BRISK,909,8.3988,9.27904
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SIFT,1891,BRISK,,,
1,SIFT,1915,BRISK,636,12.5156,12.0375
2,SIFT,1825,BRISK,642,12.6142,13.8497
3,SIFT,1837,BRISK,654,14.091,14.5497
4,SIFT,1828,BRISK,612,16.6894,22.3019
5,SIFT,1877,BRISK,645,15.9082,16.1396
6,SIFT,1931,BRISK,620,12.6787,11.1508
7,SIFT,1963,BRISK,638,11.9844,15.9297
8,SIFT,1954,BRISK,628,13.1241,15.2892
9,SIFT,1983,BRISK,609,13.0241,13.5525
10,SIFT,2041,BRISK,650,11.1746,11.5319
11,SIFT,2063,BRISK,628,12.8086,12.8143
12,SIFT,2007,BRISK,626,8.95978,10.4998
13,SIFT,2032,BRISK,626,9.96439,10.0761
14,SIFT,2048,BRISK,699,9.59863,10.9391
15,SIFT,2044,BRISK,704,8.57352,9.53826
16,SIFT,2086,BRISK,725,9.51617,9.0902
17,SIFT,2095,BRISK,740,9.54658,9.4597
18,SIFT,2159,BRISK,713,8.3988,9.52616
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,BRISK,2896,ORB,,,
1,BRISK,3000,ORB,835,12.5156,22.5037
2,BRISK,2974,ORB,810,12.6142,22.8112
3,BRISK,2953,ORB,838,14.091,19.5193
4,BRISK,2855,ORB,812,16.6894,16.5277
